epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1146.04,1.23419,1.08453,1.58363,0.79353,0.7038,0.74361,0.44986,1.48066,1.04919,1.95566,0.005743,0.005743,0.005743
45,1172.26,1.22708,1.08997,1.57719,0.78871,0.71984,0.74917,0.45131,1.49685,1.06599,1.97213,0.005644,0.005644,0.005644
46,1198.76,1.22704,1.05424,1.5697,0.79688,0.70584,0.74694,0.45388,1.48721,1.07148,1.96404,0.005545,0.005545,0.005545
47,1225.04,1.21854,1.04846,1.56519,0.79563,0.71025,0.75118,0.45326,1.48082,1.04627,1.97039,0.005446,0.005446,0.005446
48,1251.43,1.21028,1.0387,1.55898,0.81057,0.68444,0.74942,0.45232,1.48096,1.06061,1.9708,0.005347,0.005347,0.005347
49,1277.74,1.20752,1.04083,1.55558,0.8017,0.70277,0.74892,0.45441,1.48102,1.05431,1.96457,0.005248,0.005248,0.005248
50,1304.4,1.19785,1.02598,1.54914,0.82142,0.68516,0.74279,0.45143,1.48114,1.05751,1.97046,0.005149,0.005149,0.005149
51,1330.19,1.18343,1.01433,1.54326,0.83388,0.69175,0.7511,0.45046,1.48959,1.04988,1.97419,0.00505,0.00505,0.00505
52,1356.37,1.17802,0.99848,1.53729,0.8169,0.69917,0.74588,0.44869,1.50292,1.05306,1.99492,0.004951,0.004951,0.004951
53,1382.41,1.17925,0.99123,1.52851,0.81661,0.6985,0.74222,0.44685,1.50113,1.04367,1.99394,0.004852,0.004852,0.004852
54,1408.28,1.15426,0.97351,1.52139,0.80084,0.71109,0.74815,0.45011,1.48588,1.02884,1.99206,0.004753,0.004753,0.004753
55,1433.92,1.16003,0.97058,1.51873,0.80939,0.70326,0.74457,0.45201,1.49735,1.03546,2.00462,0.004654,0.004654,0.004654
56,1460.06,1.15934,0.9681,1.51899,0.82908,0.69574,0.74935,0.45469,1.49039,1.03138,1.99944,0.004555,0.004555,0.004555
57,1486.1,1.15195,0.95092,1.51206,0.82212,0.69838,0.75914,0.4583,1.4907,1.02584,2.00104,0.004456,0.004456,0.004456
58,1512.29,1.14415,0.93808,1.49954,0.83328,0.70242,0.75392,0.45452,1.49423,1.02278,2.00527,0.004357,0.004357,0.004357
59,1537.24,1.13423,0.92672,1.5012,0.81256,0.71897,0.75178,0.45262,1.49828,1.0339,2.00676,0.004258,0.004258,0.004258
60,1563.14,1.13129,0.93348,1.49315,0.82136,0.70695,0.75514,0.45562,1.50009,1.03454,2.01025,0.004159,0.004159,0.004159
61,1589.18,1.1197,0.91208,1.48134,0.82,0.70992,0.75415,0.45276,1.50511,1.04023,2.01886,0.00406,0.00406,0.00406
62,1615.37,1.11388,0.90794,1.47923,0.80642,0.72001,0.75553,0.4492,1.51028,1.0384,2.03054,0.003961,0.003961,0.003961
63,1641.41,1.1112,0.89338,1.46997,0.83776,0.70072,0.7551,0.45123,1.51553,1.03768,2.04449,0.003862,0.003862,0.003862
64,1667.58,1.10888,0.90378,1.47189,0.84383,0.69383,0.75289,0.4553,1.51491,1.03346,2.0456,0.003763,0.003763,0.003763
65,1693.65,1.09271,0.88216,1.46371,0.81478,0.7116,0.75972,0.45531,1.51403,1.03106,2.04842,0.003664,0.003664,0.003664
66,1719.83,1.08912,0.87382,1.45765,0.82454,0.7007,0.75463,0.45333,1.51425,1.0368,2.04981,0.003565,0.003565,0.003565
67,1745.79,1.07924,0.87053,1.44866,0.82088,0.69984,0.74945,0.44962,1.52403,1.04274,2.06522,0.003466,0.003466,0.003466
68,1772.1,1.07906,0.85561,1.4483,0.82103,0.69949,0.74961,0.44834,1.52128,1.05369,2.06397,0.003367,0.003367,0.003367
69,1798.02,1.06692,0.85111,1.44082,0.83284,0.6984,0.75105,0.45052,1.52107,1.04524,2.06616,0.003268,0.003268,0.003268
70,1823.96,1.06187,0.84082,1.42847,0.82397,0.70328,0.7529,0.4508,1.53092,1.0503,2.08192,0.003169,0.003169,0.003169
71,1850,1.05828,0.83872,1.42627,0.82261,0.70561,0.7539,0.45197,1.53845,1.04282,2.09014,0.00307,0.00307,0.00307
72,1875.95,1.05327,0.84119,1.42046,0.84104,0.68919,0.75539,0.45252,1.53594,1.04286,2.08797,0.002971,0.002971,0.002971
73,1902.1,1.04884,0.82554,1.41852,0.82541,0.69852,0.75546,0.45293,1.53372,1.0413,2.08861,0.002872,0.002872,0.002872
74,1928.14,1.03059,0.82124,1.40894,0.82987,0.69644,0.75614,0.4524,1.53351,1.03952,2.09199,0.002773,0.002773,0.002773
75,1954.29,1.02931,0.79691,1.40212,0.82861,0.69826,0.756,0.45339,1.53115,1.03612,2.09433,0.002674,0.002674,0.002674
76,1980.17,1.01653,0.79428,1.39636,0.83263,0.7001,0.75497,0.45074,1.5278,1.0356,2.09821,0.002575,0.002575,0.002575
77,2005.93,1.02011,0.79479,1.39451,0.8339,0.69861,0.75435,0.4503,1.52637,1.03618,2.10189,0.002476,0.002476,0.002476
78,2032.01,1.01156,0.78194,1.38691,0.83032,0.69634,0.7526,0.45102,1.52569,1.03918,2.10596,0.002377,0.002377,0.002377
79,2058.19,0.99293,0.77914,1.3764,0.83227,0.69415,0.75296,0.45101,1.52483,1.03651,2.11159,0.002278,0.002278,0.002278
80,2084.19,0.99527,0.77577,1.37746,0.81895,0.70296,0.75079,0.45081,1.52555,1.03806,2.11404,0.002179,0.002179,0.002179
81,2110.4,0.98936,0.76556,1.37287,0.82876,0.69231,0.74906,0.44979,1.52661,1.04083,2.11818,0.00208,0.00208,0.00208
82,2136.29,0.98924,0.76255,1.36995,0.8335,0.69334,0.74923,0.44986,1.52625,1.04145,2.12128,0.001981,0.001981,0.001981
83,2162.37,0.97306,0.75544,1.36086,0.82868,0.69638,0.74862,0.44888,1.5275,1.0481,2.12502,0.001882,0.001882,0.001882
84,2187.95,0.96528,0.74196,1.36035,0.82381,0.69929,0.74774,0.44775,1.52965,1.05103,2.12991,0.001783,0.001783,0.001783
85,2213.42,0.96282,0.73477,1.35253,0.8334,0.69493,0.74813,0.44687,1.5322,1.05241,2.13633,0.001684,0.001684,0.001684
86,2238.75,0.9564,0.73375,1.34207,0.83076,0.69505,0.7482,0.44795,1.53338,1.05385,2.1405,0.001585,0.001585,0.001585
87,2264.09,0.94679,0.72758,1.33822,0.83272,0.69636,0.74913,0.44766,1.53419,1.05421,2.14441,0.001486,0.001486,0.001486
88,2288.38,0.93562,0.71654,1.3345,0.83335,0.69106,0.74791,0.4478,1.53641,1.0568,2.15019,0.001387,0.001387,0.001387
89,2313.65,0.93529,0.72144,1.33178,0.82867,0.69352,0.74831,0.4481,1.53815,1.05724,2.15644,0.001288,0.001288,0.001288
90,2339.29,0.92707,0.71353,1.3264,0.81936,0.69475,0.74638,0.44822,1.54049,1.06055,2.16293,0.001189,0.001189,0.001189
91,2365.74,0.79204,0.4289,1.27348,0.81983,0.69693,0.74589,0.44756,1.54302,1.06135,2.1698,0.00109,0.00109,0.00109
92,2391.11,0.7779,0.41456,1.26157,0.80791,0.69922,0.74303,0.44695,1.54449,1.06187,2.17565,0.000991,0.000991,0.000991
93,2416.04,0.76303,0.40678,1.24339,0.81476,0.69733,0.7437,0.4469,1.54669,1.06518,2.18278,0.000892,0.000892,0.000892
94,2441.03,0.75765,0.40547,1.24072,0.81487,0.69964,0.7477,0.44763,1.54643,1.06627,2.18613,0.000793,0.000793,0.000793
95,2466.65,0.75044,0.40027,1.23397,0.81387,0.7009,0.74726,0.44746,1.54654,1.06747,2.19007,0.000694,0.000694,0.000694
96,2492.49,0.73469,0.39476,1.22005,0.81832,0.69592,0.7465,0.44706,1.547,1.07028,2.19419,0.000595,0.000595,0.000595
97,2518.02,0.72818,0.39033,1.2162,0.81996,0.69468,0.74576,0.44671,1.54861,1.07284,2.19959,0.000496,0.000496,0.000496
98,2543.76,0.71631,0.38586,1.20833,0.8175,0.69547,0.74582,0.44636,1.55098,1.07592,2.20594,0.000397,0.000397,0.000397
99,2569.46,0.70744,0.37868,1.19548,0.8189,0.69414,0.74548,0.44659,1.55161,1.07896,2.20874,0.000298,0.000298,0.000298
100,2595.04,0.70535,0.37844,1.19441,0.81953,0.69526,0.74604,0.44674,1.55115,1.08239,2.21115,0.000199,0.000199,0.000199
