epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2388.58,1.07225,0.89511,1.4189,0.81974,0.65818,0.75589,0.46925,1.53411,1.0998,2.09558,0.000371313,0.000371313,0.000371313
43,2442.28,1.06342,0.90148,1.41269,0.80381,0.6629,0.7507,0.47026,1.52621,1.14304,2.09389,0.000365125,0.000365125,0.000365125
44,2502.26,1.0711,0.88288,1.41214,0.81534,0.66538,0.75677,0.45841,1.57009,1.11974,2.1304,0.000358938,0.000358938,0.000358938
45,2556.07,1.05379,0.87505,1.39863,0.80624,0.66507,0.75487,0.47125,1.54024,1.10977,2.14682,0.00035275,0.00035275,0.00035275
46,2615.97,1.04621,0.86201,1.39708,0.79858,0.67504,0.75711,0.46284,1.5622,1.11234,2.16589,0.000346563,0.000346563,0.000346563
47,2669.7,1.04755,0.86501,1.39792,0.77789,0.69348,0.76081,0.47439,1.5507,1.13712,2.11409,0.000340375,0.000340375,0.000340375
48,2729.54,1.04085,0.85697,1.38664,0.80053,0.6814,0.7598,0.46178,1.58818,1.10054,2.17111,0.000334188,0.000334188,0.000334188
49,2783.85,1.03942,0.85277,1.3814,0.8096,0.70184,0.78692,0.47845,1.58461,1.03735,2.17239,0.000328,0.000328,0.000328
50,2843.61,1.0283,0.84447,1.38166,0.74697,0.69319,0.7519,0.46441,1.55723,1.13837,2.17677,0.000321812,0.000321812,0.000321812
51,2899.13,1.00798,0.8243,1.36508,0.7968,0.69192,0.76232,0.47069,1.58672,1.09803,2.19468,0.000315625,0.000315625,0.000315625
52,2955.46,1.01454,0.82296,1.36495,0.80666,0.66358,0.75005,0.45829,1.59549,1.18141,2.19203,0.000309437,0.000309437,0.000309437
53,3015.44,1.00347,0.81059,1.36251,0.79898,0.68912,0.77395,0.47928,1.54909,1.08428,2.16006,0.00030325,0.00030325,0.00030325
54,3070.43,1.00811,0.82133,1.36024,0.83171,0.68238,0.77455,0.48061,1.56166,1.09924,2.16428,0.000297063,0.000297063,0.000297063
55,3130.4,0.99187,0.80339,1.35521,0.81904,0.69959,0.7793,0.48357,1.55759,1.07455,2.18194,0.000290875,0.000290875,0.000290875
56,3183.78,0.99367,0.79237,1.35494,0.84784,0.68098,0.7744,0.48078,1.54875,1.11543,2.18851,0.000284688,0.000284688,0.000284688
57,3245.66,0.97888,0.78757,1.3446,0.82123,0.66633,0.75879,0.46777,1.58353,1.08794,2.1994,0.0002785,0.0002785,0.0002785
58,3299.08,0.97974,0.78255,1.34358,0.81456,0.68267,0.76648,0.47397,1.56716,1.05943,2.19622,0.000272313,0.000272313,0.000272313
59,3359.13,0.9751,0.77518,1.33737,0.78716,0.71247,0.77579,0.46853,1.60564,1.04972,2.26919,0.000266125,0.000266125,0.000266125
60,3411.48,0.96598,0.76922,1.33241,0.82959,0.69386,0.77745,0.4769,1.57563,1.06166,2.21713,0.000259938,0.000259938,0.000259938
61,3471.15,0.96725,0.77297,1.33207,0.83139,0.68041,0.76795,0.47639,1.55354,1.08177,2.19684,0.00025375,0.00025375,0.00025375
62,3523.29,0.951,0.75402,1.32463,0.83361,0.67507,0.77143,0.48515,1.54659,1.07546,2.22525,0.000247563,0.000247563,0.000247563
63,3585.67,0.94918,0.75062,1.31881,0.79899,0.70403,0.78016,0.48968,1.55106,1.07778,2.20168,0.000241375,0.000241375,0.000241375
64,3639.13,0.94006,0.73756,1.31379,0.82757,0.68649,0.77427,0.47375,1.57451,1.07471,2.23526,0.000235188,0.000235188,0.000235188
65,3697.73,0.94249,0.74482,1.31376,0.81238,0.69929,0.77588,0.48176,1.5863,1.06378,2.25104,0.000229,0.000229,0.000229
66,3752.07,0.93012,0.73734,1.30539,0.84381,0.66679,0.76983,0.47553,1.58554,1.07251,2.26146,0.000222813,0.000222813,0.000222813
67,3809.07,0.93182,0.73551,1.30491,0.77554,0.71059,0.77591,0.47872,1.58025,1.06504,2.26477,0.000216625,0.000216625,0.000216625
68,3865.26,0.92197,0.73443,1.29877,0.82926,0.67085,0.75996,0.47683,1.57626,1.08186,2.27096,0.000210437,0.000210437,0.000210437
69,3923.09,0.92564,0.73182,1.30045,0.83317,0.68468,0.77731,0.47556,1.58705,1.09297,2.2801,0.00020425,0.00020425,0.00020425
70,3980.07,0.91654,0.71571,1.2931,0.82092,0.67755,0.77049,0.47817,1.56962,1.06682,2.2817,0.000198063,0.000198063,0.000198063
71,4035.91,0.90631,0.71558,1.29012,0.83868,0.68197,0.77569,0.47639,1.59459,1.08808,2.29143,0.000191875,0.000191875,0.000191875
72,4092.45,0.89516,0.70273,1.28127,0.81751,0.69612,0.77573,0.47818,1.60625,1.06274,2.31082,0.000185688,0.000185688,0.000185688
73,4148.29,0.90276,0.6998,1.28009,0.79498,0.69794,0.77161,0.47474,1.58853,1.08331,2.29239,0.0001795,0.0001795,0.0001795
74,4207.66,0.89968,0.70532,1.28025,0.78693,0.71487,0.78198,0.47532,1.60865,1.0694,2.3255,0.000173313,0.000173313,0.000173313
75,4261.87,0.88412,0.69596,1.27848,0.83889,0.68795,0.78344,0.48318,1.58221,1.03652,2.30094,0.000167125,0.000167125,0.000167125
76,4321.73,0.88054,0.6889,1.26982,0.82729,0.69544,0.77739,0.47671,1.57236,1.06522,2.29254,0.000160938,0.000160938,0.000160938
77,4374.73,0.88597,0.68506,1.26775,0.85559,0.67823,0.78552,0.48135,1.58485,1.04421,2.30387,0.00015475,0.00015475,0.00015475
78,4435.46,0.87383,0.68161,1.26657,0.82861,0.70384,0.78494,0.48146,1.59925,1.04702,2.31355,0.000148563,0.000148563,0.000148563
79,4488.25,0.87415,0.67546,1.26234,0.82838,0.69147,0.77391,0.47965,1.58902,1.0837,2.31174,0.000142375,0.000142375,0.000142375
80,4548.19,0.86778,0.67628,1.25971,0.83812,0.68406,0.7764,0.48409,1.57321,1.06637,2.31193,0.000136187,0.000136187,0.000136187
81,4600.68,0.85737,0.6706,1.25417,0.8301,0.70463,0.78608,0.48643,1.57848,1.04545,2.29652,0.00013,0.00013,0.00013
82,4660.61,0.85666,0.67492,1.25478,0.80947,0.71237,0.78514,0.48202,1.58512,1.04651,2.31154,0.000123812,0.000123812,0.000123812
83,4714.91,0.85602,0.6681,1.25033,0.82768,0.69019,0.7814,0.48057,1.60142,1.05498,2.35334,0.000117625,0.000117625,0.000117625
