epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3608.65,1.37463,1.74348,1.78792,0.72661,0.62631,0.67606,0.39333,1.5445,1.38265,2.08829,0.005842,0.005842,0.005842
44,3717.11,1.37046,1.74627,1.78261,0.73184,0.62969,0.67384,0.39351,1.55369,1.37123,2.09634,0.005743,0.005743,0.005743
45,3825.51,1.3619,1.71756,1.77698,0.75665,0.6385,0.68246,0.39833,1.55051,1.33888,2.09325,0.005644,0.005644,0.005644
46,3934.27,1.35921,1.70918,1.77586,0.75311,0.64112,0.68281,0.39984,1.54885,1.34144,2.09079,0.005545,0.005545,0.005545
47,4042.32,1.35594,1.70875,1.77834,0.7769,0.62238,0.68621,0.40273,1.54886,1.33202,2.0907,0.005446,0.005446,0.005446
48,4148.06,1.33711,1.69049,1.76152,0.77655,0.61833,0.68906,0.40397,1.54034,1.33773,2.08188,0.005347,0.005347,0.005347
49,4256.06,1.35124,1.67067,1.76534,0.76045,0.62672,0.68174,0.40138,1.54727,1.3418,2.08773,0.005248,0.005248,0.005248
50,4365.21,1.34534,1.6666,1.76561,0.71709,0.64912,0.67842,0.40552,1.54332,1.32699,2.08495,0.005149,0.005149,0.005149
51,4472.75,1.34754,1.65759,1.76223,0.74056,0.63944,0.68477,0.40459,1.53696,1.30864,2.0812,0.00505,0.00505,0.00505
52,4580.72,1.33503,1.63252,1.74971,0.75989,0.62279,0.68898,0.40612,1.53529,1.30306,2.07674,0.004951,0.004951,0.004951
53,4688.49,1.33305,1.62283,1.75037,0.72269,0.64454,0.68608,0.41052,1.52229,1.29827,2.06714,0.004852,0.004852,0.004852
54,4796.47,1.33581,1.62385,1.75666,0.74731,0.63194,0.68878,0.40938,1.52928,1.2926,2.07658,0.004753,0.004753,0.004753
55,4904.41,1.33375,1.5995,1.75127,0.76529,0.6484,0.69829,0.41525,1.52506,1.27112,2.06969,0.004654,0.004654,0.004654
56,5007.85,1.31225,1.58883,1.74251,0.74486,0.65188,0.69538,0.41218,1.53356,1.27602,2.07749,0.004555,0.004555,0.004555
57,5114.16,1.31189,1.5752,1.73609,0.76175,0.63967,0.69692,0.41279,1.53178,1.26758,2.07712,0.004456,0.004456,0.004456
58,5223.47,1.3193,1.56624,1.73676,0.77091,0.63399,0.69398,0.40912,1.53266,1.28516,2.07512,0.004357,0.004357,0.004357
59,5331.94,1.30368,1.5509,1.72879,0.78492,0.62951,0.69413,0.41125,1.53013,1.27214,2.07232,0.004258,0.004258,0.004258
60,5433.34,1.30799,1.55338,1.73257,0.74994,0.65771,0.6951,0.41317,1.53406,1.26775,2.07764,0.004159,0.004159,0.004159
61,5539.57,1.29681,1.53732,1.72375,0.77428,0.6348,0.69654,0.41446,1.53442,1.26784,2.07639,0.00406,0.00406,0.00406
62,5648.08,1.30722,1.53821,1.72932,0.7707,0.6374,0.6939,0.4129,1.53222,1.26368,2.07282,0.003961,0.003961,0.003961
63,5757.19,1.30449,1.51898,1.72417,0.78116,0.63953,0.69604,0.41331,1.52955,1.25954,2.07064,0.003862,0.003862,0.003862
64,5863.94,1.28786,1.50491,1.71664,0.77249,0.6457,0.69961,0.41395,1.52849,1.25452,2.06808,0.003763,0.003763,0.003763
65,5969.27,1.29097,1.50354,1.7142,0.7911,0.64112,0.69894,0.41248,1.5309,1.25434,2.07293,0.003664,0.003664,0.003664
66,6078.41,1.28498,1.47941,1.70559,0.77805,0.65517,0.70149,0.41341,1.53312,1.25065,2.07426,0.003565,0.003565,0.003565
67,6187.25,1.27936,1.47319,1.70366,0.75903,0.66165,0.70063,0.41314,1.53616,1.25092,2.07815,0.003466,0.003466,0.003466
68,6297.92,1.28298,1.47531,1.7062,0.77163,0.66505,0.70283,0.4134,1.54004,1.24808,2.08111,0.003367,0.003367,0.003367
69,6407.37,1.27251,1.46522,1.7058,0.76538,0.66508,0.70362,0.4144,1.53973,1.24785,2.08023,0.003268,0.003268,0.003268
70,6516.38,1.27613,1.45175,1.69845,0.77296,0.66809,0.70432,0.41484,1.5425,1.24487,2.08374,0.003169,0.003169,0.003169
71,6624.28,1.2704,1.438,1.69402,0.76759,0.67222,0.70185,0.41572,1.54344,1.24025,2.08615,0.00307,0.00307,0.00307
72,6732.75,1.25977,1.42875,1.68698,0.75892,0.66622,0.70286,0.41505,1.5418,1.24034,2.08451,0.002971,0.002971,0.002971
73,6840.79,1.25732,1.41654,1.68606,0.7686,0.66739,0.70245,0.41633,1.54331,1.24311,2.08444,0.002872,0.002872,0.002872
74,6911.32,1.24962,1.42244,1.68602,0.76742,0.67094,0.70274,0.41727,1.5455,1.2434,2.08791,0.002773,0.002773,0.002773
75,6974.19,1.2487,1.40824,1.67809,0.77321,0.67051,0.70404,0.41668,1.54635,1.24173,2.08919,0.002674,0.002674,0.002674
76,7032.29,1.25096,1.39549,1.6761,0.77872,0.66801,0.70466,0.41624,1.54691,1.23929,2.08893,0.002575,0.002575,0.002575
77,7101.77,1.24701,1.37982,1.67196,0.79126,0.66052,0.70304,0.4166,1.54608,1.23904,2.08897,0.002476,0.002476,0.002476
