epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5793,3.10228,4.70557,4.10306,0.43065,0.02413,0.00954,0.00248,2.59637,3.84246,3.66487,0.0033287,0.0033287,0.0033287
2,132.016,2.24629,3.94435,2.9802,0.44658,0.03653,0.03527,0.01119,2.24503,3.63639,3.08637,0.00659608,0.00659608,0.00659608
3,196.079,1.82411,3.47757,2.43887,0.39892,0.13958,0.06031,0.0217,2.27616,3.66353,3.31666,0.00979746,0.00979746,0.00979746
