epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4312,1.16343,1.32072,1.56239,0.84243,0.74667,0.7917,0.47279,1.4838,0.96408,1.9802,0.005842,0.005842,0.005842
44,4412.46,1.15631,1.31223,1.55616,0.83512,0.74625,0.79026,0.47213,1.4845,0.96549,1.98181,0.005743,0.005743,0.005743
45,4512.63,1.15815,1.30814,1.55517,0.84188,0.74005,0.79046,0.47088,1.48757,0.96567,1.98461,0.005644,0.005644,0.005644
46,4613.05,1.155,1.29449,1.55259,0.83749,0.74692,0.79054,0.47185,1.48768,0.9634,1.98479,0.005545,0.005545,0.005545
47,4713.9,1.15369,1.29825,1.5537,0.84002,0.74891,0.78967,0.47093,1.48684,0.963,1.98325,0.005446,0.005446,0.005446
48,4814.48,1.14892,1.28602,1.54629,0.84285,0.74536,0.79071,0.4709,1.48662,0.96201,1.98212,0.005347,0.005347,0.005347
49,4915.28,1.14651,1.27694,1.54714,0.84297,0.74202,0.78875,0.47069,1.48834,0.96188,1.98382,0.005248,0.005248,0.005248
50,5015.69,1.1356,1.25624,1.53696,0.84037,0.74505,0.79019,0.47053,1.49117,0.96463,1.98628,0.005149,0.005149,0.005149
51,5116.38,1.13761,1.26593,1.53745,0.84536,0.74204,0.79035,0.47156,1.4923,0.96592,1.98785,0.00505,0.00505,0.00505
52,5217.12,1.13599,1.25459,1.53817,0.85,0.74014,0.7901,0.47143,1.49329,0.96286,1.99,0.004951,0.004951,0.004951
53,5318.01,1.12933,1.24188,1.53041,0.84677,0.7434,0.79015,0.47096,1.49424,0.9622,1.99234,0.004852,0.004852,0.004852
54,5420.08,1.12582,1.24029,1.52728,0.84886,0.74338,0.78965,0.47221,1.49517,0.96191,1.99405,0.004753,0.004753,0.004753
55,5520.93,1.12048,1.23025,1.52551,0.85306,0.74115,0.78968,0.47333,1.49486,0.96435,1.99248,0.004654,0.004654,0.004654
56,5621.26,1.12428,1.23238,1.52612,0.84745,0.73688,0.78638,0.47196,1.49587,0.96734,1.9936,0.004555,0.004555,0.004555
57,5721.77,1.11478,1.21957,1.52034,0.84592,0.73937,0.78738,0.47238,1.49714,0.96776,1.99511,0.004456,0.004456,0.004456
58,5822.21,1.11076,1.21054,1.51681,0.85114,0.74011,0.78872,0.4725,1.49707,0.96834,1.99664,0.004357,0.004357,0.004357
59,5922.71,1.10996,1.21148,1.51441,0.85097,0.74349,0.78908,0.47358,1.49658,0.96887,1.99737,0.004258,0.004258,0.004258
60,6022.71,1.10677,1.19687,1.51124,0.85272,0.7429,0.78945,0.47374,1.49594,0.96955,1.99807,0.004159,0.004159,0.004159
61,6123.31,1.10443,1.20376,1.50866,0.84786,0.73973,0.78903,0.47445,1.49763,0.97061,2.00063,0.00406,0.00406,0.00406
62,6223.05,1.09715,1.17939,1.50077,0.84669,0.73862,0.78826,0.47406,1.49672,0.97216,2.00059,0.003961,0.003961,0.003961
63,6321.94,1.09369,1.17266,1.50002,0.85378,0.73639,0.78836,0.47361,1.49563,0.97303,2.00148,0.003862,0.003862,0.003862
64,6422.14,1.09285,1.18096,1.49867,0.85521,0.73359,0.78941,0.4735,1.49459,0.97233,2.00192,0.003763,0.003763,0.003763
65,6522.34,1.08661,1.1612,1.49293,0.86239,0.73016,0.78852,0.47377,1.49344,0.9733,2.00149,0.003664,0.003664,0.003664
66,6622.68,1.08568,1.15751,1.48854,0.86548,0.72878,0.7903,0.47362,1.49369,0.97493,2.00281,0.003565,0.003565,0.003565
67,6723.29,1.07829,1.14981,1.4864,0.85681,0.73359,0.79108,0.47368,1.49572,0.97385,2.00661,0.003466,0.003466,0.003466
68,6823.54,1.07274,1.14686,1.48338,0.85419,0.73045,0.79106,0.47467,1.49592,0.97416,2.00719,0.003367,0.003367,0.003367
69,6923.88,1.07027,1.12995,1.48013,0.84152,0.73838,0.79048,0.47522,1.49809,0.97396,2.01085,0.003268,0.003268,0.003268
70,7024.08,1.06644,1.12258,1.47402,0.83872,0.7394,0.78984,0.47593,1.49907,0.97506,2.01216,0.003169,0.003169,0.003169
71,7124.39,1.06747,1.12787,1.47525,0.8355,0.74196,0.79098,0.47533,1.50022,0.97816,2.01484,0.00307,0.00307,0.00307
72,7224.73,1.05738,1.10847,1.46813,0.8388,0.73834,0.79211,0.47361,1.50059,0.97816,2.0161,0.002971,0.002971,0.002971
73,7325.11,1.05506,1.11297,1.46866,0.8402,0.73618,0.79169,0.47238,1.50156,0.98083,2.01824,0.002872,0.002872,0.002872
74,7425.45,1.0506,1.11054,1.4642,0.85755,0.72628,0.79092,0.47255,1.50141,0.98394,2.01988,0.002773,0.002773,0.002773
75,7525.86,1.0492,1.09547,1.46093,0.85568,0.72578,0.79107,0.47192,1.50317,0.98334,2.02231,0.002674,0.002674,0.002674
76,7626.4,1.0449,1.08752,1.45934,0.84153,0.73134,0.79103,0.4712,1.50498,0.98361,2.02513,0.002575,0.002575,0.002575
77,7726.66,1.04306,1.08696,1.45445,0.85133,0.72455,0.79135,0.4717,1.5073,0.98523,2.02779,0.002476,0.002476,0.002476
78,7827.19,1.03338,1.07342,1.44761,0.86074,0.72252,0.79229,0.47143,1.50651,0.98631,2.02835,0.002377,0.002377,0.002377
79,7927.97,1.02785,1.07342,1.44802,0.86122,0.72135,0.79224,0.4709,1.50744,0.98672,2.02991,0.002278,0.002278,0.002278
80,8028.59,1.02099,1.05695,1.4401,0.87008,0.71774,0.79373,0.47115,1.50857,0.98678,2.03191,0.002179,0.002179,0.002179
81,8129.04,1.01711,1.04988,1.43491,0.86891,0.72037,0.79488,0.4719,1.50886,0.98678,2.03325,0.00208,0.00208,0.00208
82,8229.32,1.01108,1.03852,1.43114,0.86596,0.7191,0.79315,0.47198,1.5105,0.98894,2.0358,0.001981,0.001981,0.001981
83,8329.81,1.00568,1.02918,1.42656,0.86974,0.71673,0.79254,0.47219,1.51281,0.98862,2.03976,0.001882,0.001882,0.001882
84,8430.07,1.00017,1.02183,1.42273,0.87376,0.71706,0.79379,0.47265,1.51346,0.98902,2.04176,0.001783,0.001783,0.001783
85,8530.67,0.99934,1.01857,1.41922,0.87089,0.71714,0.79269,0.4721,1.51486,0.9927,2.04541,0.001684,0.001684,0.001684
86,8630.72,0.99667,1.01174,1.41881,0.87208,0.71721,0.79285,0.47179,1.51658,0.99446,2.0494,0.001585,0.001585,0.001585
87,8730.94,0.98816,1.00377,1.41229,0.87076,0.71815,0.79352,0.47135,1.51802,0.99648,2.05311,0.001486,0.001486,0.001486
88,8831.33,0.98006,0.99402,1.40593,0.87179,0.71528,0.79317,0.47005,1.5206,1.00088,2.05786,0.001387,0.001387,0.001387
89,8931.67,0.97939,0.98762,1.40206,0.86176,0.71809,0.79305,0.46939,1.52389,1.00296,2.06434,0.001288,0.001288,0.001288
90,9032.04,0.9705,0.97793,1.39832,0.85354,0.71972,0.7927,0.46946,1.52496,1.0089,2.06768,0.001189,0.001189,0.001189
91,9133.26,0.82695,0.46315,1.37138,0.84473,0.72724,0.79172,0.46885,1.52576,1.01416,2.07168,0.00109,0.00109,0.00109
92,9233.17,0.79752,0.43167,1.34292,0.83476,0.72849,0.7915,0.46851,1.52544,1.0206,2.07543,0.000991,0.000991,0.000991
93,9332.54,0.77594,0.41532,1.32152,0.8339,0.73012,0.79066,0.46866,1.52588,1.02558,2.0796,0.000892,0.000892,0.000892
94,9426.83,0.76508,0.40323,1.30961,0.83541,0.7296,0.79002,0.46899,1.52514,1.02927,2.08382,0.000793,0.000793,0.000793
95,9521.83,0.74889,0.39753,1.29949,0.83393,0.72888,0.7876,0.46883,1.52599,1.03328,2.09059,0.000694,0.000694,0.000694
96,9615.5,0.73684,0.3896,1.28753,0.83002,0.72886,0.78704,0.46935,1.5269,1.03651,2.09813,0.000595,0.000595,0.000595
97,9709.9,0.726,0.38045,1.27998,0.85395,0.7123,0.78532,0.46948,1.52578,1.03856,2.10374,0.000496,0.000496,0.000496
98,9805.48,0.71064,0.37329,1.26584,0.85166,0.7108,0.78554,0.46869,1.52649,1.04501,2.11221,0.000397,0.000397,0.000397
99,9900.96,0.70206,0.36694,1.25811,0.84878,0.70936,0.78317,0.46877,1.52634,1.05103,2.12086,0.000298,0.000298,0.000298
100,9996.87,0.6929,0.36371,1.25166,0.84598,0.71241,0.78387,0.46756,1.52751,1.05852,2.13047,0.000199,0.000199,0.000199
