epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5033.35,1.27345,1.3369,1.6058,0.80438,0.73503,0.77018,0.46406,1.46037,1.01614,1.93798,0.005842,0.005842,0.005842
44,5154.4,1.27,1.31618,1.59556,0.79533,0.72239,0.76295,0.46244,1.46558,1.02244,1.94211,0.005743,0.005743,0.005743
45,5277.1,1.25602,1.30148,1.59159,0.76486,0.73195,0.76052,0.46054,1.4634,1.02221,1.9397,0.005644,0.005644,0.005644
46,5399.32,1.25379,1.2968,1.58411,0.83034,0.69995,0.75739,0.4597,1.47022,1.03863,1.94262,0.005545,0.005545,0.005545
47,5522.26,1.25377,1.28735,1.58527,0.8066,0.72497,0.76786,0.46072,1.4647,1.00925,1.93573,0.005446,0.005446,0.005446
48,5642.4,1.24086,1.26806,1.57481,0.83819,0.70529,0.75827,0.45863,1.46,1.03196,1.93718,0.005347,0.005347,0.005347
49,5764.05,1.24335,1.26151,1.57537,0.83393,0.7194,0.76498,0.4618,1.46637,1.00528,1.94064,0.005248,0.005248,0.005248
50,5877.8,1.2347,1.25139,1.57212,0.85748,0.71467,0.77217,0.46656,1.46475,0.99982,1.93254,0.005149,0.005149,0.005149
51,5975.84,1.21916,1.22979,1.56425,0.83874,0.72235,0.77286,0.46792,1.46852,1.00537,1.93931,0.00505,0.00505,0.00505
52,6099.17,1.22871,1.22862,1.56253,0.84717,0.71367,0.77346,0.4673,1.46053,0.99831,1.94078,0.004951,0.004951,0.004951
53,6209.61,1.22472,1.21214,1.56246,0.84407,0.71902,0.77366,0.46187,1.46863,0.9879,1.94576,0.004852,0.004852,0.004852
54,6327.79,1.21923,1.21438,1.55555,0.85572,0.71656,0.77422,0.46413,1.46646,0.99024,1.94154,0.004753,0.004753,0.004753
55,6429.31,1.20731,1.19064,1.54952,0.84592,0.71962,0.77122,0.46364,1.47115,0.99981,1.94657,0.004654,0.004654,0.004654
